,CAAR
0,8.035851000906076
1,8.600820618640093
2,4.9246707092255395
3,2.3873058094038004
4,3.6813540167238745
5,3.3975101842458697
6,3.1343027648736292
7,2.153146985646587
8,1.4305292567346202
9,-3.6883801530642337
10,-2.8989815893589115
11,-2.577320023775835
12,-2.46592759705607
13,-1.2858802007939543
14,0.08836665073059424
15,-1.916518398536786
16,-3.2784853178460476
17,-5.768838384869801
18,-6.579953167744591
19,-6.71246886331574
20,-6.549800995944679
