event,date,indep,CAR_0_5,CAR_0_10,CAR_0_20,p_0_5,p_0_10,p_0_20
LUNA / UST collapse,2022-05-09,True,8.336704068823867,4.476962286515565,-4.074303096750059,0.33746026139022733,0.7031348828415482,0.8017726136128712
Celsius freeze,2022-06-13,False,15.868272374294687,6.483870628541306,0.330370160896182,0.06002719093885656,0.5675760363408031,0.9831697782184086
FTX collapse,2022-11-08,True,-12.840509668787618,-22.590579527073828,-27.6213504835333,0.29755899719276985,0.1766137592326805,0.2313804224330292
BUSD shutdown (NYDFS),2023-02-13,True,2.225573962652539,0.03382025458130933,5.166079435608456,0.7567327094601236,0.9972254545003261,0.700749896871796
