spec,term,n,bU,pU,bC,pC,wald,r2,dw
main_no_thetaL,4-Week,51,-0.7315664467583662,0.1655198525710867,0.5910005938620688,0.002706967756255619,0.008007851569260387,0.6209126025858027,1.3601933654682608
main_no_thetaL,8-Week,51,-1.3993350214770075,0.0112149537361406,0.46630269851649664,0.04664032391933546,0.0002963667603425433,0.5133456647837298,1.372146094480643
main_no_thetaL,13-Week,51,-1.5575653488034713,0.0016070178150751012,0.31759108974974426,0.10405042403382653,0.00012851263778081344,0.41738012501339583,1.4203924461544204
main_no_thetaL,26-Week,51,-1.5875290831226505,7.940169274462893e-05,-0.10072480285205776,0.5495419645086372,0.00016561098527453032,0.3267990549268869,1.696177890382906
with_reserves,4-Week,51,-0.4693517049797613,0.25611617835421263,0.7298029025850448,7.91004074667891e-05,0.002147378710476622,0.731256005379353,1.4049191963024161
with_reserves,8-Week,51,-0.9442130087300624,0.08979049786185736,0.4341456200295313,0.015564741877146532,0.014278244778993946,0.5918831075046723,1.4661256878149116
with_reserves,13-Week,51,-1.6636400727899643,1.0185672148157406e-05,0.06829781573998872,0.7141905014531291,2.0512786381214564e-06,0.5152045424356755,1.475300697898648
with_reserves,26-Week,51,-1.51508823049562,0.0005198939685586457,-0.22379611043096848,0.3118185481833141,0.00898022998391725,0.3624210809172381,1.8195521903763032
