date,term,bid_cover,offering
2026-02-23,13-Week,3.3,89000000000.0
2026-03-02,13-Week,3.16,89000000000.0
2026-03-09,13-Week,2.92,89000000000.0
2026-03-16,13-Week,2.94,89000000000.0
2026-03-23,13-Week,2.84,89000000000.0
2026-03-30,13-Week,2.66,89000000000.0
2021-01-04,26-Week,3.24,51000000000.0
2021-01-11,26-Week,3.29,51000000000.0
2021-01-19,26-Week,3.09,51000000000.0
2021-01-25,26-Week,3.48,51000000000.0
2021-02-01,26-Week,3.41,51000000000.0
2021-02-08,26-Week,2.99,51000000000.0
2021-02-16,26-Week,3.02,51000000000.0
2021-02-22,26-Week,2.81,51000000000.0
2021-03-01,26-Week,2.91,51000000000.0
2021-03-08,26-Week,3.55,51000000000.0
2021-03-15,26-Week,2.94,54000000000.0
2021-03-22,26-Week,2.96,54000000000.0
2021-03-29,26-Week,2.93,54000000000.0
2021-04-05,26-Week,3.38,54000000000.0
2021-04-12,26-Week,3.39,54000000000.0
2021-04-19,26-Week,3.23,54000000000.0
2021-04-26,26-Week,3.32,54000000000.0
2021-05-03,26-Week,2.72,54000000000.0
2021-05-10,26-Week,3.28,54000000000.0
2021-05-17,26-Week,3.28,54000000000.0
2021-05-24,26-Week,2.78,54000000000.0
2021-06-01,26-Week,3.1,54000000000.0
2021-06-07,26-Week,3.31,54000000000.0
2021-06-14,26-Week,3.32,54000000000.0
2021-06-21,26-Week,3.64,54000000000.0
2021-06-28,26-Week,3.6,54000000000.0
2021-07-06,26-Week,3.59,54000000000.0
2021-07-12,26-Week,3.74,51000000000.0
2021-07-19,26-Week,3.5,51000000000.0
2021-07-26,26-Week,3.18,51000000000.0
2021-08-02,26-Week,3.25,51000000000.0
2021-08-09,26-Week,3.59,51000000000.0
2021-08-16,26-Week,2.87,48000000000.0
2021-08-23,26-Week,3.02,48000000000.0
2021-08-30,26-Week,3.16,48000000000.0
2021-09-07,26-Week,3.79,48000000000.0
2021-09-13,26-Week,3.78,45000000000.0
2021-09-20,26-Week,3.62,45000000000.0
2021-09-27,26-Week,3.24,42000000000.0
2021-10-04,26-Week,3.3,42000000000.0
2021-10-12,26-Week,3.99,42000000000.0
2021-10-18,26-Week,3.12,45000000000.0
2021-10-25,26-Week,3.34,48000000000.0
2021-11-01,26-Week,2.9,48000000000.0
2021-11-08,26-Week,3.31,48000000000.0
