date,term,bid_cover,offering
2022-02-10,4-Week,3.18,50000000000.0
2022-02-17,4-Week,3.48,50000000000.0
2022-02-24,4-Week,2.78,45000000000.0
2022-03-03,4-Week,2.48,45000000000.0
2022-03-10,4-Week,3.03,45000000000.0
2022-03-17,4-Week,3.31,45000000000.0
2022-03-24,4-Week,2.93,35000000000.0
2022-03-31,4-Week,3.1,35000000000.0
2022-04-07,4-Week,3.38,35000000000.0
2022-04-14,4-Week,2.84,35000000000.0
2022-04-21,4-Week,3.21,35000000000.0
2022-04-28,4-Week,3.5,35000000000.0
2022-05-05,4-Week,3.06,35000000000.0
2022-05-12,4-Week,2.7,35000000000.0
2022-05-19,4-Week,3.07,35000000000.0
2022-05-26,4-Week,2.79,35000000000.0
2022-06-02,4-Week,3.07,35000000000.0
2022-06-09,4-Week,2.82,35000000000.0
2022-06-16,4-Week,3.17,35000000000.0
2022-06-23,4-Week,2.9,35000000000.0
2022-06-30,4-Week,2.97,35000000000.0
2022-07-07,4-Week,2.87,35000000000.0
2022-07-14,4-Week,2.75,45000000000.0
2022-07-21,4-Week,2.44,55000000000.0
2022-07-28,4-Week,2.66,55000000000.0
2022-08-04,4-Week,2.8,55000000000.0
2022-08-11,4-Week,2.44,55000000000.0
2022-08-18,4-Week,2.53,55000000000.0
2022-08-25,4-Week,2.37,55000000000.0
2022-09-01,4-Week,2.65,50000000000.0
2022-09-08,4-Week,3.03,50000000000.0
2022-09-15,4-Week,2.7,50000000000.0
2022-09-22,4-Week,2.82,50000000000.0
2022-09-29,4-Week,2.54,50000000000.0
2022-10-06,4-Week,2.75,50000000000.0
2022-10-13,4-Week,2.5,60000000000.0
2022-10-20,4-Week,2.35,65000000000.0
2022-10-27,4-Week,2.48,65000000000.0
2022-11-03,4-Week,2.53,65000000000.0
2022-11-10,4-Week,2.65,65000000000.0
2022-11-17,4-Week,2.54,65000000000.0
2022-11-23,4-Week,2.55,55000000000.0
2022-12-01,4-Week,3.43,45000000000.0
2022-12-08,4-Week,3.19,45000000000.0
2022-12-15,4-Week,3.16,45000000000.0
2022-12-22,4-Week,2.88,45000000000.0
2022-12-29,4-Week,2.64,45000000000.0
2023-01-05,4-Week,2.79,45000000000.0
2023-01-12,4-Week,2.76,60000000000.0
2023-01-19,4-Week,2.41,70000000000.0
2023-01-26,4-Week,2.59,75000000000.0
2023-02-02,4-Week,2.47,75000000000.0
2023-02-09,4-Week,2.63,75000000000.0
2023-02-16,4-Week,2.77,75000000000.0
2023-02-23,4-Week,2.63,75000000000.0
2023-03-02,4-Week,2.53,75000000000.0
2023-03-09,4-Week,2.75,65000000000.0
2023-03-17,4-Week,2.43,60000000000.0
2023-03-23,4-Week,2.54,60000000000.0
2023-03-30,4-Week,2.63,60000000000.0
2023-04-06,4-Week,2.81,60000000000.0
2023-04-13,4-Week,3.08,60000000000.0
2023-04-20,4-Week,3.01,50000000000.0
2023-04-27,4-Week,2.5,50000000000.0
2023-05-04,4-Week,2.51,50000000000.0
2023-05-11,4-Week,3.18,35000000000.0
2023-05-18,4-Week,3.15,35000000000.0
2023-05-25,4-Week,2.79,35000000000.0
2023-06-01,4-Week,2.85,35000000000.0
2023-06-08,4-Week,2.49,60000000000.0
2023-06-15,4-Week,3.03,65000000000.0
2023-06-22,4-Week,2.93,70000000000.0
2023-06-29,4-Week,2.53,70000000000.0
2023-07-06,4-Week,2.54,70000000000.0
2023-07-13,4-Week,2.79,70000000000.0
2023-07-20,4-Week,2.66,70000000000.0
2023-07-27,4-Week,3.18,70000000000.0
2023-08-03,4-Week,2.8,70000000000.0
2023-08-10,4-Week,2.62,75000000000.0
2023-08-17,4-Week,2.67,80000000000.0
2023-08-24,4-Week,2.89,80000000000.0
2023-08-31,4-Week,2.95,80000000000.0
2023-09-07,4-Week,2.7,80000000000.0
2023-09-14,4-Week,2.66,80000000000.0
2023-09-21,4-Week,2.8,80000000000.0
2023-09-28,4-Week,2.95,85000000000.0
2023-10-05,4-Week,2.95,90000000000.0
2023-10-12,4-Week,2.79,95000000000.0
2023-10-19,4-Week,2.98,95000000000.0
2023-10-26,4-Week,2.94,95000000000.0
2023-11-02,4-Week,2.91,95000000000.0
2023-11-09,4-Week,2.57,95000000000.0
2023-11-16,4-Week,2.75,95000000000.0
2023-11-22,4-Week,2.58,85000000000.0
2023-11-30,4-Week,2.75,80000000000.0
2023-12-07,4-Week,3.08,80000000000.0
2023-12-14,4-Week,2.86,80000000000.0
2023-12-21,4-Week,2.68,80000000000.0
2023-12-28,4-Week,2.35,80000000000.0
2024-01-04,4-Week,2.96,80000000000.0
2024-01-11,4-Week,2.78,80000000000.0
2024-01-18,4-Week,2.81,85000000000.0
2024-01-25,4-Week,2.86,90000000000.0
2024-02-01,4-Week,2.78,95000000000.0
2024-02-08,4-Week,2.97,95000000000.0
2024-02-15,4-Week,2.75,95000000000.0
2024-02-22,4-Week,2.8,95000000000.0
2024-02-29,4-Week,2.8,95000000000.0
2024-03-07,4-Week,2.76,95000000000.0
2024-03-14,4-Week,2.79,95000000000.0
2024-03-21,4-Week,3.0,85000000000.0
2024-03-28,4-Week,2.74,75000000000.0
2024-04-04,4-Week,3.13,70000000000.0
2024-04-11,4-Week,2.95,70000000000.0
2024-04-18,4-Week,2.9,70000000000.0
2024-04-25,4-Week,3.14,70000000000.0
2024-05-02,4-Week,2.91,70000000000.0
2024-05-09,4-Week,2.93,80000000000.0
2024-05-16,4-Week,2.73,80000000000.0
2024-05-23,4-Week,2.77,80000000000.0
2024-05-30,4-Week,2.83,70000000000.0
2024-06-06,4-Week,2.81,70000000000.0
2024-06-13,4-Week,2.95,70000000000.0
2024-06-20,4-Week,2.93,70000000000.0
2024-06-27,4-Week,2.55,80000000000.0
2024-07-03,4-Week,2.81,85000000000.0
2024-07-11,4-Week,2.69,90000000000.0
2024-07-18,4-Week,2.59,90000000000.0
2024-07-25,4-Week,2.77,90000000000.0
2024-08-01,4-Week,2.87,90000000000.0
2024-08-08,4-Week,2.77,95000000000.0
2024-08-15,4-Week,2.9,95000000000.0
2024-08-22,4-Week,2.67,95000000000.0
2024-08-29,4-Week,2.83,85000000000.0
2024-09-05,4-Week,3.03,80000000000.0
2024-09-12,4-Week,2.92,80000000000.0
2024-09-19,4-Week,2.87,80000000000.0
2024-09-26,4-Week,2.81,90000000000.0
2024-10-03,4-Week,2.5,95000000000.0
2024-10-10,4-Week,2.74,95000000000.0
2024-10-17,4-Week,2.9,95000000000.0
2024-10-24,4-Week,2.83,95000000000.0
2024-10-31,4-Week,2.82,95000000000.0
2024-11-07,4-Week,2.63,95000000000.0
2024-11-14,4-Week,2.77,95000000000.0
2024-11-21,4-Week,2.68,95000000000.0
2024-11-27,4-Week,2.81,95000000000.0
2024-12-05,4-Week,2.74,85000000000.0
2024-12-12,4-Week,3.14,80000000000.0
2024-12-19,4-Week,2.93,80000000000.0
2024-12-26,4-Week,2.97,75000000000.0
2025-01-02,4-Week,2.68,85000000000.0
2025-01-09,4-Week,2.92,95000000000.0
2025-01-16,4-Week,2.74,95000000000.0
2025-01-23,4-Week,2.88,95000000000.0
2025-01-30,4-Week,3.02,95000000000.0
2025-02-06,4-Week,2.62,95000000000.0
2025-02-13,4-Week,2.93,90000000000.0
2025-02-20,4-Week,2.92,85000000000.0
2025-02-27,4-Week,3.1,80000000000.0
2025-03-06,4-Week,3.0,75000000000.0
2025-03-13,4-Week,3.05,75000000000.0
2025-03-20,4-Week,3.21,75000000000.0
2025-03-27,4-Week,3.14,75000000000.0
2025-04-03,4-Week,3.14,80000000000.0
2025-04-10,4-Week,2.95,85000000000.0
2025-04-17,4-Week,2.91,85000000000.0
2025-04-24,4-Week,2.9,85000000000.0
2025-05-01,4-Week,2.74,85000000000.0
2025-05-08,4-Week,2.82,85000000000.0
2025-05-15,4-Week,2.91,85000000000.0
2025-05-22,4-Week,2.78,85000000000.0
2025-05-29,4-Week,2.92,75000000000.0
2025-06-05,4-Week,3.26,65000000000.0
2025-06-12,4-Week,3.22,65000000000.0
2025-06-18,4-Week,3.15,65000000000.0
2025-06-26,4-Week,3.06,60000000000.0
2025-07-03,4-Week,3.26,55000000000.0
2025-07-10,4-Week,3.08,80000000000.0
2025-07-17,4-Week,2.91,90000000000.0
2025-07-24,4-Week,2.69,95000000000.0
2025-07-31,4-Week,2.63,95000000000.0
2025-08-07,4-Week,2.82,100000000000.0
2025-08-14,4-Week,2.67,100000000000.0
2025-08-21,4-Week,2.61,100000000000.0
2025-08-28,4-Week,2.68,100000000000.0
2025-09-04,4-Week,2.78,100000000000.0
2025-09-11,4-Week,2.64,100000000000.0
2025-09-18,4-Week,2.71,100000000000.0
2025-09-25,4-Week,2.61,100000000000.0
2025-10-02,4-Week,2.67,105000000000.0
2025-10-09,4-Week,2.92,110000000000.0
2025-10-16,4-Week,2.79,110000000000.0
2025-10-23,4-Week,2.73,110000000000.0
2025-10-30,4-Week,2.64,110000000000.0
2025-11-06,4-Week,2.73,110000000000.0
2025-11-13,4-Week,2.73,110000000000.0
2025-11-20,4-Week,2.75,110000000000.0
2025-11-26,4-Week,2.77,100000000000.0
2025-12-04,4-Week,2.69,90000000000.0
2025-12-11,4-Week,2.97,85000000000.0
2025-12-18,4-Week,3.28,80000000000.0
2025-12-24,4-Week,3.14,80000000000.0
2025-12-31,4-Week,2.9,80000000000.0
2026-01-08,4-Week,3.18,80000000000.0
2026-01-15,4-Week,2.92,95000000000.0
2026-01-22,4-Week,2.86,105000000000.0
2026-01-29,4-Week,2.86,105000000000.0
2026-02-05,4-Week,2.85,105000000000.0
2026-02-12,4-Week,2.78,105000000000.0
2026-02-19,4-Week,2.94,105000000000.0
2026-02-26,4-Week,2.88,105000000000.0
2026-03-05,4-Week,2.89,105000000000.0
2026-03-12,4-Week,2.77,100000000000.0
2026-03-19,4-Week,3.12,90000000000.0
2026-03-26,4-Week,3.03,85000000000.0
2021-01-07,8-Week,3.81,35000000000.0
2021-01-14,8-Week,3.23,35000000000.0
2021-01-21,8-Week,3.5,35000000000.0
2021-01-28,8-Week,3.83,35000000000.0
2021-02-04,8-Week,3.84,35000000000.0
2021-02-11,8-Week,3.39,35000000000.0
2021-02-18,8-Week,3.78,35000000000.0
2021-02-25,8-Week,3.05,35000000000.0
2021-03-04,8-Week,3.34,35000000000.0
2021-03-11,8-Week,3.4,35000000000.0
2021-03-18,8-Week,3.1,40000000000.0
2021-03-25,8-Week,3.44,40000000000.0
2021-04-01,8-Week,3.62,40000000000.0
2021-04-08,8-Week,3.71,40000000000.0
2021-04-15,8-Week,2.99,40000000000.0
2021-04-22,8-Week,3.14,40000000000.0
2021-04-29,8-Week,3.4,40000000000.0
2021-05-06,8-Week,3.59,40000000000.0
2021-05-13,8-Week,3.47,40000000000.0
2021-05-20,8-Week,3.38,40000000000.0
2021-05-27,8-Week,3.23,40000000000.0
2021-06-03,8-Week,2.97,40000000000.0
2021-06-10,8-Week,2.89,40000000000.0
2021-06-17,8-Week,3.92,40000000000.0
2021-06-24,8-Week,3.6,40000000000.0
2021-07-01,8-Week,4.46,40000000000.0
2021-07-08,8-Week,4.15,40000000000.0
2021-07-15,8-Week,3.65,35000000000.0
2021-07-22,8-Week,4.17,35000000000.0
2021-07-29,8-Week,3.52,35000000000.0
2021-08-05,8-Week,3.42,35000000000.0
2021-08-12,8-Week,3.23,35000000000.0
2021-08-19,8-Week,3.61,30000000000.0
2021-08-26,8-Week,3.45,30000000000.0
2021-09-02,8-Week,3.02,30000000000.0
2021-09-09,8-Week,3.21,30000000000.0
2021-09-16,8-Week,3.45,30000000000.0
2021-09-23,8-Week,3.9,25000000000.0
2021-09-30,8-Week,3.71,25000000000.0
2021-10-07,8-Week,3.05,25000000000.0
2021-10-14,8-Week,3.11,25000000000.0
2021-10-21,8-Week,3.23,25000000000.0
2021-10-28,8-Week,3.45,25000000000.0
2021-11-04,8-Week,3.53,25000000000.0
2021-11-10,8-Week,3.36,25000000000.0
2021-11-18,8-Week,4.43,25000000000.0
2021-11-24,8-Week,3.6,25000000000.0
2021-12-02,8-Week,3.33,25000000000.0
2021-12-09,8-Week,3.7,25000000000.0
2021-12-16,8-Week,3.1,25000000000.0
2021-12-23,8-Week,3.41,40000000000.0
2021-12-30,8-Week,3.14,40000000000.0
2022-01-06,8-Week,3.24,40000000000.0
2022-01-13,8-Week,3.39,40000000000.0
2022-01-20,8-Week,2.75,40000000000.0
2022-01-27,8-Week,2.89,40000000000.0
2022-02-03,8-Week,3.26,40000000000.0
2022-02-10,8-Week,2.97,40000000000.0
2022-02-17,8-Week,3.12,40000000000.0
2022-02-24,8-Week,3.7,35000000000.0
2022-03-03,8-Week,3.69,35000000000.0
2022-03-10,8-Week,3.15,35000000000.0
2022-03-17,8-Week,3.45,35000000000.0
2022-03-24,8-Week,2.99,30000000000.0
2022-03-31,8-Week,2.75,30000000000.0
2022-04-07,8-Week,2.96,30000000000.0
2022-04-14,8-Week,3.56,30000000000.0
2022-04-21,8-Week,3.24,30000000000.0
2022-04-28,8-Week,3.64,30000000000.0
2022-05-05,8-Week,3.55,30000000000.0
2022-05-12,8-Week,3.02,30000000000.0
2022-05-19,8-Week,2.9,30000000000.0
2022-05-26,8-Week,3.36,30000000000.0
2022-06-02,8-Week,3.23,30000000000.0
2022-06-09,8-Week,3.06,30000000000.0
2022-06-16,8-Week,3.28,30000000000.0
2022-06-23,8-Week,2.97,30000000000.0
2022-06-30,8-Week,2.89,30000000000.0
2022-07-07,8-Week,2.77,30000000000.0
2022-07-14,8-Week,2.47,40000000000.0
2022-07-21,8-Week,2.71,50000000000.0
2022-07-28,8-Week,2.79,50000000000.0
2022-08-04,8-Week,2.54,50000000000.0
2022-08-11,8-Week,2.35,50000000000.0
2022-08-18,8-Week,2.77,50000000000.0
2022-08-25,8-Week,2.73,50000000000.0
2022-09-01,8-Week,3.02,45000000000.0
2022-09-08,8-Week,2.93,45000000000.0
2022-09-15,8-Week,2.64,45000000000.0
2022-09-22,8-Week,2.6,45000000000.0
2022-09-29,8-Week,2.57,45000000000.0
2022-10-06,8-Week,2.53,45000000000.0
2022-10-13,8-Week,2.48,50000000000.0
2022-10-20,8-Week,2.49,55000000000.0
2022-10-27,8-Week,2.67,55000000000.0
2022-11-03,8-Week,2.75,55000000000.0
2022-11-10,8-Week,2.68,55000000000.0
2022-11-17,8-Week,2.46,55000000000.0
2022-11-23,8-Week,2.81,50000000000.0
2022-12-01,8-Week,2.76,45000000000.0
2022-12-08,8-Week,2.94,45000000000.0
2022-12-15,8-Week,2.72,45000000000.0
2022-12-22,8-Week,2.68,45000000000.0
2022-12-29,8-Week,2.41,45000000000.0
2023-01-05,8-Week,2.29,45000000000.0
2023-01-12,8-Week,2.73,55000000000.0
2023-01-19,8-Week,2.53,60000000000.0
2023-01-26,8-Week,2.57,60000000000.0
2023-02-02,8-Week,2.56,60000000000.0
2023-02-09,8-Week,2.32,60000000000.0
2023-02-16,8-Week,2.51,60000000000.0
2023-02-23,8-Week,2.64,60000000000.0
2023-03-02,8-Week,2.79,60000000000.0
2023-03-09,8-Week,2.3,55000000000.0
2023-03-17,8-Week,2.85,50000000000.0
2023-03-23,8-Week,2.97,50000000000.0
2023-03-30,8-Week,2.47,50000000000.0
2023-04-06,8-Week,2.5,50000000000.0
2023-04-13,8-Week,2.52,50000000000.0
2023-04-20,8-Week,2.47,45000000000.0
2023-04-27,8-Week,2.7,45000000000.0
2023-05-04,8-Week,2.93,45000000000.0
2023-05-11,8-Week,3.04,35000000000.0
2023-05-18,8-Week,2.39,35000000000.0
2023-05-25,8-Week,2.82,35000000000.0
2023-06-01,8-Week,2.83,35000000000.0
2023-06-08,8-Week,2.86,50000000000.0
2023-06-15,8-Week,3.06,55000000000.0
2023-06-22,8-Week,2.78,60000000000.0
2023-06-29,8-Week,2.61,60000000000.0
2023-07-06,8-Week,2.88,60000000000.0
2023-07-13,8-Week,2.87,60000000000.0
2023-07-20,8-Week,2.99,60000000000.0
2023-07-27,8-Week,2.86,60000000000.0
2023-08-03,8-Week,2.77,60000000000.0
2023-08-10,8-Week,2.96,65000000000.0
2023-08-17,8-Week,2.89,70000000000.0
2023-08-24,8-Week,2.82,70000000000.0
2023-08-31,8-Week,2.77,70000000000.0
2023-09-07,8-Week,2.79,70000000000.0
2023-09-14,8-Week,2.77,70000000000.0
2023-09-21,8-Week,2.58,70000000000.0
2023-09-28,8-Week,2.59,75000000000.0
2023-10-05,8-Week,2.46,80000000000.0
2023-10-12,8-Week,2.88,85000000000.0
2023-10-19,8-Week,2.63,85000000000.0
2023-10-26,8-Week,2.52,85000000000.0
2023-11-02,8-Week,2.7,85000000000.0
2023-11-09,8-Week,2.7,85000000000.0
2023-11-16,8-Week,2.63,85000000000.0
2023-11-22,8-Week,2.73,80000000000.0
2023-11-30,8-Week,2.75,80000000000.0
2023-12-07,8-Week,2.82,80000000000.0
2023-12-14,8-Week,2.83,80000000000.0
2023-12-21,8-Week,2.74,80000000000.0
2023-12-28,8-Week,2.59,80000000000.0
2024-01-04,8-Week,2.8,80000000000.0
2024-01-11,8-Week,2.98,80000000000.0
2024-01-18,8-Week,3.06,85000000000.0
2024-01-25,8-Week,2.85,90000000000.0
2024-02-01,8-Week,2.75,90000000000.0
2024-02-08,8-Week,2.75,90000000000.0
2024-02-15,8-Week,2.66,90000000000.0
2024-02-22,8-Week,2.78,90000000000.0
2024-02-29,8-Week,2.71,90000000000.0
2024-03-07,8-Week,2.9,90000000000.0
2024-03-14,8-Week,2.87,90000000000.0
2024-03-21,8-Week,2.93,85000000000.0
2024-03-28,8-Week,2.89,80000000000.0
2024-04-04,8-Week,2.87,75000000000.0
2024-04-11,8-Week,3.14,75000000000.0
2024-04-18,8-Week,2.9,75000000000.0
2024-04-25,8-Week,3.02,75000000000.0
2024-05-02,8-Week,2.99,75000000000.0
2024-05-09,8-Week,2.98,80000000000.0
2024-05-16,8-Week,2.74,80000000000.0
2024-05-23,8-Week,2.63,80000000000.0
2024-05-30,8-Week,2.94,70000000000.0
2024-06-06,8-Week,3.23,70000000000.0
2024-06-13,8-Week,2.98,70000000000.0
2024-06-20,8-Week,2.65,70000000000.0
2024-06-27,8-Week,2.84,75000000000.0
2024-07-03,8-Week,2.76,80000000000.0
2024-07-11,8-Week,2.63,85000000000.0
2024-07-18,8-Week,2.68,85000000000.0
2024-07-25,8-Week,2.89,85000000000.0
2024-08-01,8-Week,2.74,85000000000.0
2024-08-08,8-Week,2.74,90000000000.0
2024-08-15,8-Week,2.77,90000000000.0
2024-08-22,8-Week,2.83,90000000000.0
2024-08-29,8-Week,2.6,80000000000.0
2024-09-05,8-Week,2.78,80000000000.0
2024-09-12,8-Week,2.45,80000000000.0
2024-09-19,8-Week,2.8,80000000000.0
2024-09-26,8-Week,2.42,85000000000.0
2024-10-03,8-Week,2.72,90000000000.0
2024-10-10,8-Week,2.92,90000000000.0
2024-10-17,8-Week,2.68,90000000000.0
2024-10-24,8-Week,2.83,90000000000.0
2024-10-31,8-Week,2.68,90000000000.0
2024-11-07,8-Week,2.59,90000000000.0
2024-11-14,8-Week,2.77,90000000000.0
2024-11-21,8-Week,2.52,90000000000.0
2024-11-27,8-Week,2.61,90000000000.0
2024-12-05,8-Week,3.5,80000000000.0
2024-12-12,8-Week,2.81,75000000000.0
2024-12-19,8-Week,2.98,75000000000.0
2024-12-26,8-Week,2.9,70000000000.0
2025-01-02,8-Week,2.96,80000000000.0
2025-01-09,8-Week,2.81,90000000000.0
2025-01-16,8-Week,2.89,90000000000.0
2025-01-23,8-Week,2.75,90000000000.0
2025-01-30,8-Week,2.63,90000000000.0
2025-02-06,8-Week,2.77,90000000000.0
2025-02-13,8-Week,2.94,85000000000.0
2025-02-20,8-Week,2.88,80000000000.0
2025-02-27,8-Week,2.98,75000000000.0
2025-03-06,8-Week,3.02,75000000000.0
2025-03-13,8-Week,3.04,75000000000.0
2025-03-20,8-Week,2.74,75000000000.0
2025-03-27,8-Week,2.68,75000000000.0
2025-04-03,8-Week,2.87,75000000000.0
2025-04-10,8-Week,3.1,75000000000.0
2025-04-17,8-Week,2.94,75000000000.0
2025-04-24,8-Week,3.01,75000000000.0
2025-05-01,8-Week,3.28,75000000000.0
2025-05-08,8-Week,2.98,75000000000.0
2025-05-15,8-Week,2.85,75000000000.0
2025-05-22,8-Week,2.89,75000000000.0
2025-05-29,8-Week,3.07,65000000000.0
2025-06-05,8-Week,3.38,55000000000.0
2025-06-12,8-Week,2.67,55000000000.0
2025-06-18,8-Week,2.7,55000000000.0
2025-06-26,8-Week,3.24,50000000000.0
2025-07-03,8-Week,3.1,45000000000.0
2025-07-10,8-Week,2.86,70000000000.0
2025-07-17,8-Week,2.6,80000000000.0
2025-07-24,8-Week,2.63,85000000000.0
2025-07-31,8-Week,2.52,85000000000.0
2025-08-07,8-Week,3.16,85000000000.0
2025-08-14,8-Week,2.72,85000000000.0
2025-08-21,8-Week,2.71,85000000000.0
2025-08-28,8-Week,2.92,85000000000.0
2025-09-04,8-Week,2.79,85000000000.0
2025-09-11,8-Week,2.81,85000000000.0
2025-09-18,8-Week,2.76,85000000000.0
2025-09-25,8-Week,2.65,85000000000.0
2025-10-02,8-Week,3.01,90000000000.0
2025-10-09,8-Week,2.88,95000000000.0
2025-10-16,8-Week,2.91,95000000000.0
2025-10-23,8-Week,2.77,95000000000.0
2025-10-30,8-Week,2.88,95000000000.0
2025-11-06,8-Week,2.9,95000000000.0
2025-11-13,8-Week,2.87,95000000000.0
2025-11-20,8-Week,2.64,95000000000.0
2025-11-26,8-Week,2.87,85000000000.0
2025-12-04,8-Week,2.98,80000000000.0
2025-12-11,8-Week,2.79,80000000000.0
2025-12-18,8-Week,3.01,80000000000.0
2025-12-24,8-Week,2.92,80000000000.0
2025-12-31,8-Week,2.83,80000000000.0
2026-01-08,8-Week,2.85,80000000000.0
2026-01-15,8-Week,2.71,90000000000.0
2026-01-22,8-Week,2.84,95000000000.0
2026-01-29,8-Week,2.87,95000000000.0
2026-02-05,8-Week,2.64,95000000000.0
2026-02-12,8-Week,2.88,95000000000.0
2026-02-19,8-Week,2.82,95000000000.0
2026-02-26,8-Week,2.8,95000000000.0
2026-03-05,8-Week,3.21,95000000000.0
2026-03-12,8-Week,3.1,90000000000.0
2026-03-19,8-Week,2.83,85000000000.0
2026-03-26,8-Week,3.14,80000000000.0
