Date,row_equity
2020-01-02,42.280208587646484
2020-01-03,41.7359733581543
2020-01-06,41.8380126953125
2020-01-07,41.75297927856445
2020-01-08,41.863521575927734
2020-01-09,41.97407913208008
2020-01-10,41.92304992675781
2020-01-13,42.28871154785156
2020-01-14,42.246192932128906
2020-01-15,42.152652740478516
2020-01-16,42.37374496459961
2020-01-17,42.518314361572266
2020-01-21,41.99958801269531
2020-01-22,42.152652740478516
2020-01-23,41.99958801269531
2020-01-24,41.75297927856445
2020-01-27,40.79206848144531
2020-01-28,41.14921569824219
2020-01-29,41.17472839355469
2020-01-30,41.013160705566406
2020-01-31,40.34136962890625
2020-02-03,40.451927185058594
2020-02-04,41.217247009277344
2020-02-05,41.57440185546875
2020-02-06,41.68495178222656
2020-02-07,41.259765625
2020-02-10,41.378814697265625
2020-02-11,41.667945861816406
2020-02-12,41.97407913208008
2020-02-13,41.60841751098633
2020-02-14,41.59141540527344
2020-02-18,41.310787200927734
2020-02-19,41.52338790893555
2020-02-20,41.1832389831543
2020-02-21,40.970645904541016
2020-02-24,39.456993103027344
2020-02-25,38.88724899291992
2020-02-26,39.014801025390625
2020-02-27,37.883811950683594
2020-02-28,37.654212951660156
2020-03-02,38.257972717285156
2020-03-03,38.0113639831543
2020-03-04,38.91275405883789
2020-03-05,37.98585510253906
2020-03-06,37.43312454223633
2020-03-09,34.4398307800293
2020-03-10,35.800418853759766
2020-03-11,34.0146484375
2020-03-12,30.230520248413086
2020-03-13,32.2288818359375
2020-03-16,28.699859619140625
2020-03-17,30.247529983520508
2020-03-18,28.206647872924805
2020-03-19,28.6318302154541
2020-03-20,28.419239044189453
2020-03-23,27.892009735107422
2020-03-24,30.230520248413086
2020-03-25,31.4465389251709
2020-03-26,32.69657897949219
2020-03-27,31.48055648803711
2020-03-30,31.990779876708984
2020-03-31,32.01628875732422
2020-04-01,30.48563003540039
2020-04-02,31.20844078063965
2020-04-03,30.570667266845703
2020-04-06,32.1778564453125
2020-04-07,32.40745544433594
2020-04-08,32.69657897949219
2020-04-09,33.240814208984375
2020-04-13,33.01121139526367
2020-04-14,33.623477935791016
2020-04-15,32.65406036376953
2020-04-16,32.69657897949219
2020-04-17,33.51293182373047
2020-04-20,33.10476303100586
2020-04-21,32.322418212890625
2020-04-22,33.01121139526367
2020-04-23,32.883663177490234
2020-04-24,33.17277908325195
2020-04-27,33.674503326416016
2020-04-28,33.87009048461914
2020-04-29,34.7714729309082
2020-04-30,34.05717086791992
2020-05-01,33.198299407958984
2020-05-04,33.291839599609375
2020-05-05,33.40237808227539
2020-05-06,33.215301513671875
2020-05-07,33.631980895996094
2020-05-08,34.20173263549805
2020-05-11,34.19322967529297
2020-05-12,33.793556213378906
2020-05-13,33.53844451904297
2020-05-14,33.39387512207031
2020-05-15,33.308841705322266
2020-05-18,34.5928955078125
2020-05-19,34.210235595703125
2020-05-20,34.79698181152344
2020-05-21,34.44832992553711
2020-05-22,34.17621612548828
2020-05-26,35.05208969116211
2020-05-27,35.41775894165039
2020-05-28,35.59632873535156
2020-05-29,35.62184143066406
2020-06-01,36.41268539428711
2020-06-02,36.914390563964844
2020-06-03,37.705230712890625
2020-06-04,37.492652893066406
2020-06-05,38.19845199584961
2020-06-08,38.6661491394043
2020-06-09,38.20695495605469
2020-06-10,38.189945220947266
2020-06-11,36.2000846862793
2020-06-12,36.85487365722656
2020-06-15,36.893585205078125
2020-06-16,37.31517791748047
2020-06-17,37.47005081176758
2020-06-18,37.3495979309082
2020-06-19,37.22053527832031
2020-06-22,37.650733947753906
2020-06-23,37.90884780883789
2020-06-24,37.10008239746094
2020-06-25,37.461448669433594
2020-06-26,36.94520950317383
2020-06-29,37.23774337768555
2020-06-30,37.203330993652344
2020-07-01,37.409820556640625
2020-07-02,37.943260192871094
2020-07-06,38.838069915771484
2020-07-07,38.227195739746094
2020-07-08,38.743431091308594
2020-07-09,38.44228744506836
2020-07-10,38.65739440917969
2020-07-13,38.40788269042969
2020-07-14,38.803653717041016
2020-07-15,39.19943618774414
2020-07-16,38.87248611450195
2020-07-17,39.05317687988281
2020-07-20,39.31989288330078
2020-07-21,39.53499221801758
2020-07-22,39.53499221801758
2020-07-23,39.19943618774414
2020-07-24,39.06177520751953
2020-07-27,39.638240814208984
2020-07-28,39.35430908203125
2020-07-29,39.8447265625
2020-07-30,39.35430908203125
2020-07-31,38.70041275024414
2020-08-03,39.251060485839844
2020-08-04,39.595218658447266
2020-08-05,39.82752227783203
2020-08-06,39.89635467529297
2020-08-07,39.53499221801758
2020-08-10,39.64684295654297
2020-08-11,39.69846725463867
2020-08-12,40.46421432495117
2020-08-13,40.309349060058594
2020-08-14,40.1114501953125
2020-08-17,40.46421432495117
2020-08-18,40.46421432495117
2020-08-19,40.19749069213867
2020-08-20,40.07704162597656
2020-08-21,39.965187072753906
2020-08-24,40.481422424316406
2020-08-25,40.601871490478516
2020-08-26,40.81697082519531
2020-08-27,40.46421432495117
2020-08-28,40.80836868286133
2020-08-31,40.309349060058594
2020-09-01,40.5932731628418
2020-09-02,40.92021942138672
2020-09-03,40.025413513183594
2020-09-04,40.05121994018555
2020-09-08,39.47476577758789
2020-09-09,40.18028259277344
2020-09-10,39.6640510559082
2020-09-11,40.01680374145508
2020-09-14,40.378173828125
2020-09-15,40.6620979309082
2020-09-16,40.636287689208984
2020-09-17,40.61048126220703
2020-09-18,40.274932861328125
2020-09-21,39.50917434692383
2020-09-22,39.47476577758789
2020-09-23,38.975730895996094
2020-09-24,38.932716369628906
2020-09-25,39.02735900878906
2020-09-28,39.612422943115234
2020-09-29,39.517784118652344
2020-09-30,39.56940841674805
2020-10-01,39.89635467529297
2020-10-02,39.69846725463867
2020-10-05,40.292137145996094
2020-10-06,39.973793029785156
2020-10-07,40.35236358642578
2020-10-08,40.6793098449707
2020-10-09,40.9460334777832
2020-10-12,41.18694305419922
2020-10-13,40.83418273925781
2020-10-14,40.73953628540039
2020-10-15,40.36096954345703
2020-10-16,40.498634338378906
2020-10-19,40.33515930175781
2020-10-20,40.601871490478516
2020-10-21,40.47282028198242
2020-10-22,40.49002456665039
2020-10-23,40.69651794433594
2020-10-26,40.034019470214844
2020-10-27,39.90495681762695
2020-10-28,38.803653717041016
2020-10-29,39.001548767089844
2020-10-30,38.76063919067383
2020-11-02,39.242454528808594
2020-11-03,39.982391357421875
2020-11-04,40.65349578857422
2020-11-05,41.53109359741211
2020-11-06,41.66876220703125
2020-11-09,42.52915573120117
2020-11-10,42.63239288330078
2020-11-11,42.97655487060547
2020-11-12,42.41729736328125
2020-11-13,43.03678894042969
2020-11-16,43.57883071899414
2020-11-17,43.50999450683594
2020-11-18,43.320709228515625
2020-11-19,43.570228576660156
2020-11-20,43.707889556884766
2020-11-23,43.75090789794922
2020-11-24,44.353187561035156
2020-11-25,44.28434753417969
2020-11-27,44.61130142211914
2020-11-30,43.64765930175781
2020-12-01,44.51665496826172
2020-12-02,44.55967712402344
2020-12-03,44.791988372802734
2020-12-04,45.18775939941406
2020-12-07,44.96406173706055
2020-12-08,45.093116760253906
2020-12-09,45.007080078125
2020-12-10,45.247989654541016
2020-12-11,45.032894134521484
2020-12-14,44.972965240478516
2020-12-15,45.45934295654297
2020-12-16,45.62437057495117
2020-12-17,45.96310043334961
2020-12-18,45.72859191894531
2020-12-21,45.1727294921875
2020-12-22,45.016395568847656
2020-12-23,45.47671890258789
2020-12-24,45.41592025756836
2020-12-28,45.6851692199707
2020-12-29,46.06732177734375
2020-12-30,46.29314041137695
2020-12-31,46.06732177734375
2021-01-04,46.310516357421875
2021-01-05,46.98797607421875
2021-01-06,47.187744140625
2021-01-07,47.439613342285156
2021-01-08,48.082332611083984
2021-01-11,47.456993103027344
2021-01-12,47.734920501708984
2021-01-13,47.70018005371094
2021-01-14,48.09102249145508
2021-01-15,47.404876708984375
2021-01-19,47.86520004272461
2021-01-20,48.36895751953125
2021-01-21,48.43844223022461
2021-01-22,48.1083869934082
2021-01-25,48.186561584472656
2021-01-26,48.1083869934082
2021-01-27,46.96192169189453
2021-01-28,47.27458953857422
2021-01-29,46.19760513305664
2021-02-01,46.996665954589844
2021-02-02,47.535152435302734
2021-02-03,47.70018005371094
2021-02-04,47.71754455566406
2021-02-05,48.06496047973633
2021-02-08,48.35158157348633
2021-02-09,48.690311431884766
2021-02-10,48.66425704956055
2021-02-11,49.0290412902832
2021-02-12,49.237491607666016
2021-02-16,49.50674057006836
2021-02-17,49.35040283203125
2021-02-18,48.950870513916016
2021-02-19,49.19405746459961
2021-02-22,48.65557098388672
2021-02-23,48.7511100769043
2021-02-24,48.78584671020508
2021-02-25,47.882572174072266
2021-02-26,47.10957336425781
2021-03-01,48.17787551879883
2021-03-02,48.03891372680664
2021-03-03,47.839149475097656
2021-03-04,47.13562774658203
2021-03-05,47.56989669799805
2021-03-08,47.048770904541016
2021-03-09,47.795719146728516
2021-03-10,47.908626556396484
2021-03-11,48.58608627319336
2021-03-12,48.40369415283203
2021-03-15,48.4644889831543
2021-03-16,48.638206481933594
2021-03-17,48.76848220825195
2021-03-18,48.17787551879883
2021-03-19,48.42106628417969
2021-03-22,48.42106628417969
2021-03-23,47.70018005371094
2021-03-24,47.1964225769043
2021-03-25,47.43092727661133
2021-03-26,48.22129821777344
2021-03-29,48.02153778076172
2021-03-30,47.986793518066406
2021-03-31,47.926002502441406
2021-04-01,48.56871795654297
2021-04-05,49.089839935302734
2021-04-06,48.82928466796875
2021-04-07,48.638206481933594
2021-04-08,49.01167297363281
2021-04-09,48.9769287109375
2021-04-12,48.70768356323242
2021-04-13,48.95956039428711
2021-04-14,49.0377311706543
2021-04-15,49.437255859375
2021-04-16,49.71519088745117
2021-04-19,49.52410888671875
2021-04-20,48.80321502685547
2021-04-21,49.28091812133789
2021-04-22,49.107215881347656
2021-04-23,49.64570999145508
2021-04-26,49.71519088745117
2021-04-27,49.610965728759766
2021-04-28,49.880210876464844
2021-04-29,49.81941604614258
2021-04-30,49.15064239501953
2021-05-03,49.50674057006836
2021-05-04,48.85533142089844
2021-05-05,49.385135650634766
2021-05-06,49.810726165771484
2021-05-07,50.35791015625
2021-05-10,49.8975830078125
2021-05-11,49.42856979370117
2021-05-12,48.455806732177734
2021-05-13,48.70768356323242
2021-05-14,49.56753158569336
2021-05-17,49.48067855834961
2021-05-18,49.7759895324707
2021-05-19,49.40251541137695
2021-05-20,49.99312210083008
2021-05-21,49.854164123535156
2021-05-24,50.1841926574707
2021-05-25,50.33185577392578
2021-05-26,50.436073303222656
2021-05-27,50.48819351196289
2021-05-28,50.67058181762695
2021-06-01,51.15696334838867
2021-06-02,51.26987075805664
2021-06-03,50.896400451660156
2021-06-04,51.36540603637695
2021-06-07,51.36540603637695
2021-06-08,51.278564453125
2021-06-09,51.1135368347168
2021-06-10,51.38300704956055
2021-06-11,51.41810989379883
2021-06-14,51.505882263183594
2021-06-15,51.461997985839844
2021-06-16,51.023128509521484
2021-06-17,50.84757995605469
2021-06-18,49.987396240234375
2021-06-21,50.5228157043457
2021-06-22,50.5140380859375
2021-06-23,50.39115524291992
2021-06-24,50.83002471923828
2021-06-25,51.03190231323242
2021-06-28,50.83002471923828
2021-06-29,50.812469482421875
2021-06-30,50.47892379760742
2021-07-01,50.49647903442383
2021-07-02,50.5228157043457
2021-07-06,50.083953857421875
2021-07-07,50.25071334838867
2021-07-08,49.45197296142578
2021-07-09,50.31216049194336
2021-07-12,50.47014617919922
2021-07-13,50.27705001831055
2021-07-14,50.39992904663086
2021-07-15,50.12783432006836
2021-07-16,49.67140579223633
2021-07-19,48.81121826171875
2021-07-20,49.12720489501953
2021-07-21,49.74162673950195
2021-07-22,49.80307388305664
2021-07-23,49.820621490478516
2021-07-26,49.56607437133789
2021-07-27,49.11842727661133
2021-07-28,49.688961029052734
2021-07-29,50.048828125
2021-07-30,49.645076751708984
2021-08-02,49.917171478271484
2021-08-03,50.25071334838867
2021-08-04,50.20683288574219
2021-08-05,50.36482620239258
2021-08-06,50.11027908325195
2021-08-09,50.1366081237793
2021-08-10,50.25948715209961
2021-08-11,50.5140380859375
2021-08-12,50.3384895324707
2021-08-13,50.47892379760742
2021-08-16,50.17172622680664
2021-08-17,49.60997009277344
2021-08-18,49.48707962036133
2021-08-19,48.872657775878906
2021-08-20,49.00432205200195
2021-08-23,49.55730056762695
2021-08-24,50.01372528076172
2021-08-25,50.01372528076172
2021-08-26,49.680179595947266
2021-08-27,50.189273834228516
2021-08-30,50.20683288574219
2021-08-31,50.36482620239258
2021-09-01,50.865135192871094
2021-09-02,51.00557327270508
2021-09-03,51.22500991821289
2021-09-07,51.295230865478516
2021-09-08,50.77735900878906
2021-09-09,50.6895866394043
2021-09-10,50.57548141479492
2021-09-13,50.8739128112793
2021-09-14,50.58426284790039
2021-09-15,50.73347473144531
2021-09-16,50.44381332397461
2021-09-17,49.92595291137695
2021-09-20,48.881439208984375
2021-09-21,49.27642059326172
2021-09-22,49.680179595947266
2021-09-23,50.20683288574219
2021-09-24,49.71529006958008
2021-09-27,49.829402923583984
2021-09-28,48.85511016845703
2021-09-29,48.653221130371094
2021-09-30,48.63567352294922
2021-10-01,48.872657775878906
2021-10-04,48.24946212768555
2021-10-05,48.55667495727539
2021-10-06,48.275794982910156
2021-10-07,48.872657775878906
2021-10-08,48.89899826049805
2021-10-11,48.784889221191406
2021-10-12,48.74978256225586
2021-10-13,49.29397201538086
2021-10-14,49.71529006958008
2021-10-15,50.12783432006836
2021-10-18,49.97861862182617
2021-10-19,50.382381439208984
2021-10-20,50.540374755859375
2021-10-21,50.25071334838867
2021-10-22,50.44381332397461
2021-10-25,50.46137619018555
2021-10-26,50.426265716552734
2021-10-27,50.1541633605957
2021-10-28,50.540374755859375
2021-10-29,50.09272003173828
2021-11-01,50.55792999267578
2021-11-02,50.3384895324707
2021-11-03,50.68081283569336
2021-11-04,50.62814712524414
2021-11-05,50.6895866394043
2021-11-08,50.838802337646484
2021-11-09,50.6895866394043
2021-11-10,50.215606689453125
2021-11-11,50.58426284790039
2021-11-12,50.838802337646484
2021-11-15,50.742252349853516
2021-11-16,50.67203140258789
2021-11-17,50.540374755859375
2021-11-18,50.417484283447266
2021-11-19,50.07516860961914
2021-11-22,49.72407150268555
2021-11-23,49.69773864746094
2021-11-24,49.49585723876953
2021-11-26,48.10024642944336
2021-11-29,48.31968307495117
2021-11-30,47.99491882324219
2021-12-01,47.75792694091797
2021-12-02,48.36356735229492
2021-12-03,48.0212516784668
2021-12-06,48.468902587890625
2021-12-07,49.42564010620117
2021-12-08,49.52219009399414
2021-12-09,49.153541564941406
2021-12-10,49.24131393432617
2021-12-13,48.63383102416992
2021-12-14,48.411155700683594
2021-12-15,48.83871078491211
2021-12-16,48.89213943481445
2021-12-17,48.37552261352539
2021-12-20,48.045955657958984
2021-12-21,48.696189880371094
2021-12-22,49.123741149902344
2021-12-23,49.408775329589844
2021-12-27,49.70270538330078
2021-12-28,49.71162033081055
2021-12-29,49.57801055908203
2021-12-30,49.68059539794922
2021-12-31,49.600311279296875
2022-01-03,49.88578414916992
2022-01-04,49.9749870300293
2022-01-05,49.43081283569336
2022-01-06,49.377288818359375
2022-01-07,49.600311279296875
2022-01-10,49.261314392089844
2022-01-11,50.01066970825195
2022-01-12,50.58161544799805
2022-01-13,50.10880661010742
2022-01-14,50.0731201171875
2022-01-18,49.31483459472656
2022-01-19,49.36836624145508
2022-01-20,49.19886779785156
