date,spread,vix,supply_total,dln_supply,velocity,dln_row_equity,theta,liq_buffer,dln_supply_pos,dln_supply_neg,L_x_dlns,L_x_dlns_pos,L_x_dlns_neg
2022-01-31,0.09325677419354843,22.779677419354837,173.027480319,0.0645674726792862,0.004729119330701098,-0.04166894085419015,0.5573644589469735,0.16363812534546263,0.0645674726792862,0.0,0.010565700187532768,0.010565700187532768,0.0
2022-02-28,0.275624642857143,26.02892857142857,183.571870429,0.05915582761964444,0.0020475101842581346,-0.028757269405586428,0.5738189256414179,0.17066575825268882,0.05915582761964444,0.0,0.01009587417577197,0.01009587417577197,0.0
2022-03-31,0.3782738709677421,26.938709677419357,186.7746336,0.017296466863959914,0.0018609164225313357,-0.05627997940045448,0.5916973903056769,0.17830157465065502,0.017296466863959914,0.0,0.0030839872777369296,0.0030839872777369296,0.0
2022-04-30,0.6232403333333334,24.232333333333333,186.804080008,0.00015764499950510213,0.0019061273278152076,-0.10771767696483447,0.5898069084692198,0.18883214195391682,0.00015764499950510213,0.0,2.976844292487259e-05,2.976844292487259e-05,0.0
2022-05-31,0.7134541935483871,29.249032258064517,158.77784183,-0.16255436313925653,0.01089473803013321,0.09066169112582889,0.5876857672286196,0.2006475533284702,0.0,-0.16255436313925653,-0.032616135246759485,0.0,-0.032616135246759485
2022-06-30,0.9569746666666668,28.097666666666665,152.872706597,-0.037900411925215316,0.002294851463939675,-0.10601905640615472,0.5854491294636964,0.213106315990099,0.0,-0.037900411925215316,-0.008076817159889851,0.0,-0.008076817159889851
2022-07-31,1.2666506451612904,24.669677419354837,152.826936117,-0.0002994473917965479,0.0013762433706958753,0.06357217164122186,0.6169898580488723,0.2036815431424908,0.0,-0.0002994473917965479,-6.099190685111491e-05,0.0,-6.099190685111491e-05
2022-08-31,1.195870322580645,22.050967741935484,152.611401534,-0.0014113134613866762,0.0011119880046897835,-0.11891797007226934,0.6653760400965264,0.1951008344931112,0.0,-0.0014113134613866762,-0.0002753484340479018,0.0,-0.0002753484340479018
2022-09-30,1.1708973333333332,27.016000000000002,149.499369943,-0.020602652829378343,0.0011056050767195564,-0.15332764090761897,0.6761403005643307,0.19442320814443237,0.0,-0.020602652829378343,-0.004005633859373704,0.0,-0.004005633859373704
2022-10-31,1.284186129032258,30.032258064516128,145.740843672,-0.025462177284071963,0.0015961176189126921,0.006979867952316976,0.6782203634338668,0.18995852381422876,0.0,-0.025462177284071963,-0.004836757609978499,0.0,-0.004836757609978499
2022-11-30,1.3042666666666665,23.132,141.295586476,-0.03097594703796691,0.0030044027523479055,0.2552017796456516,0.5345007062528125,0.18726602218798027,0.0,-0.03097594703796691,-0.005800742385305613,0.0,-0.005800742385305613
2022-12-31,0.8743183870967742,21.63774193548387,137.772999332,-0.025246655678050622,0.0017420884129521663,-0.04167539033657297,0.44947324104675207,0.18168269492548614,0.0,-0.025246655678050622,-0.004586880441444063,0.0,-0.004586880441444063
2023-01-31,0.6697593548387097,20.082903225806454,136.823107512,-0.006918492908281948,0.0013896712569124248,0.1445033612505049,0.536113908120298,0.17595744599928959,0.0,-0.006918492908281948,-0.0012173603423054889,0.0,-0.0012173603423054889
2023-02-28,0.4625150000000001,20.125357142857144,134.810805569,-0.014816550212412238,0.0011365438452159468,-0.12006025239259133,0.5727038325625301,0.1555238707916092,0.0,-0.014816550212412238,-0.002304327240812591,0.0,-0.002304327240812591
2023-03-31,0.2497545161290324,21.9,131.736578627,-0.02306804304440746,0.0024450908056645477,0.012232098988618656,0.6080265672034113,0.1330872589298843,0.0,-0.02306804304440746,-0.0030700626176567722,0.0,-0.0030700626176567722
