Variable,N,Mean,Std,Min,p25,Median,p75,Max
OIS–Treasury spread (pp),51,0.0981,0.5363,-0.7106,-0.203,-0.0947,0.3383,1.3043
ΔlnS  (monthly log-change in stablecoin supply),51,0.013,0.0402,-0.1626,-0.0078,0.0103,0.0364,0.1173
θ  (Treasury Exposure = T-bill holdings / supply),51,0.3707,0.2526,0.0,0.2587,0.3909,0.5337,0.8297
L  (Liquid Buffer = cash reserves / supply),51,0.0851,0.0644,0.0,0.0264,0.0916,0.1312,0.2228
V  (7-day rolling std of daily supply changes),51,0.0021,0.0015,0.001,0.0013,0.0016,0.0022,0.0109
VIX,51,19.2614,5.0326,12.6735,15.5983,18.2874,21.9755,32.522
ΔlnN*  (RoW equity log-change),51,0.0088,0.0824,-0.23,-0.0323,0.0122,0.0534,0.2552
